-1.79289,-0.68091,-0.79395,-1.65258,1.61912,1.35113,-1.19094,-0.85563,1.62963,1.69168,1.29602
0.29591,-0.72681,-0.64959,-0.17963,-0.79976,-0.23982,-0.76736,-0.82464,0.79061,0.67667,1.07697
-0.08703,-1.09405,-1.17889,-0.21555,-1.13590,-1.43743,-0.50953,-0.60772,-0.20975,-0.15037,-0.01825
-0.05222,0.19127,0.45712,0.07185,0.60426,0.71094,0.18110,-0.07059,-0.56472,-0.63908,-0.34682
0.40035,0.92573,1.03454,0.64666,0.00115,0.29300,0.93618,0.71446,-0.79061,-0.75186,-0.89443
1.23588,1.38477,1.13078,1.32925,-0.28887,-0.67782,1.35055,1.64411,-0.85515,-0.82704,-1.11348
0.69943,-0.58782,0.11963,0.24858,0.43832,1.67330,-1.54864,-1.19680,0.76305,-0.04993,-1.26493
-1.13180,-0.93359,-1.27368,-1.89913,-0.27646,-0.61755,-0.83897,-0.88992,0.54443,0.24963,-0.83563
1.53874,1.34852,1.59737,0.96448,1.31798,0.73724,0.02105,-0.29664,0.76305,0.74888,-0.31724
0.16532,-0.17289,0.24629,0.48721,-0.97818,-0.50678,0.64652,0.16980,0.21005,1.24813,0.24165
-0.75029,1.14106,0.16185,0.36789,0.72685,-0.33393,0.86904,0.78354,-0.47155,-0.64903,0.79243
-0.52139,-0.79528,-0.85146,-0.16903,-1.22851,-0.95229,0.85100,1.43002,-1.80904,-1.54768,1.38372
-1.25251,-0.73011,-0.75881,-1.31709,0.22202,-0.47171,-1.14818,-0.70363,1.58771,0.34604,-1.11661
-0.35070,-0.79750,-0.97561,-0.49959,-1.16321,-0.75649,-0.82220,-0.70363,0.14434,-0.24717,-0.79758
-0.35070,-0.59532,-0.65041,-0.22709,-0.62364,-0.62454,-0.40929,-0.65396,-0.28868,-0.84039,-0.39879
-0.35070,-0.05616,-0.05420,-0.22709,0.04012,-0.41973,0.15575,-0.20695,-1.01036,-0.84039,0.07976
