,duokong,code,date
214,0.0,603127,20180713
215,0.0,603127,20180716
216,0.0,603127,20180717
217,0.0,603127,20180718
218,0.0,603127,20180719
219,0.0,603127,20180720
220,0.0,603127,20180723
221,0.0,603127,20180724
222,0.0,603127,20180725
223,0.0,603127,20180726
224,0.0,603127,20180727
225,-1.0,603127,20180730
226,0.0,603127,20180731
227,0.0,603127,20180801
228,0.0,603127,20180802
229,0.0,603127,20180803
230,0.0,603127,20180806
231,0.0,603127,20180807
232,0.0,603127,20180808
233,0.0,603127,20180809
234,0.0,603127,20180810
235,0.0,603127,20180813
236,0.0,603127,20180814
237,0.0,603127,20180815
238,0.0,603127,20180816
239,0.0,603127,20180817
240,0.0,603127,20180820
241,0.0,603127,20180821
242,0.0,603127,20180822
243,0.0,603127,20180823
244,0.0,603127,20180824
245,1.0,603127,20180827
246,0.0,603127,20180828
247,0.0,603127,20180829
248,0.0,603127,20180830
249,0.0,603127,20180831
250,0.0,603127,20180903
251,0.0,603127,20180904
252,0.0,603127,20180905
253,0.0,603127,20180906
254,0.0,603127,20180907
255,0.0,603127,20180910
256,0.0,603127,20180911
257,0.0,603127,20180912
258,0.0,603127,20180913
259,0.0,603127,20180914
260,0.0,603127,20180917
261,-1.0,603127,20180918
262,0.0,603127,20180919
263,0.0,603127,20180920
264,0.0,603127,20180921
265,0.0,603127,20180925
266,1.0,603127,20180926
267,-1.0,603127,20180927
268,1.0,603127,20180928
269,-1.0,603127,20181008
270,1.0,603127,20181009
271,-1.0,603127,20181010
272,0.0,603127,20181011
273,0.0,603127,20181012
274,0.0,603127,20181015
275,0.0,603127,20181016
276,0.0,603127,20181017
277,0.0,603127,20181018
278,0.0,603127,20181019
279,1.0,603127,20181022
280,-1.0,603127,20181023
281,0.0,603127,20181024
282,0.0,603127,20181025
283,0.0,603127,20181026
284,0.0,603127,20181029
285,0.0,603127,20181030
286,1.0,603127,20181031
287,0.0,603127,20181101
288,0.0,603127,20181102
289,0.0,603127,20181105
290,0.0,603127,20181106
291,0.0,603127,20181107
292,0.0,603127,20181108
293,0.0,603127,20181109
294,0.0,603127,20181112
295,0.0,603127,20181113
296,0.0,603127,20181114
297,0.0,603127,20181115
298,0.0,603127,20181116
299,0.0,603127,20181119
300,0.0,603127,20181120
301,0.0,603127,20181121
302,0.0,603127,20181122
303,0.0,603127,20181123
304,0.0,603127,20181126
305,0.0,603127,20181127
